"","id","location","core_assisted","session_rpe"
"333",145,22,"assisted",13
"334",716,24,"assisted",16
"335",1055,2,"assisted",13
"336",738,27,"assisted",10
"337",709,15,"assisted",15
"338",1586,17,"assisted",13
"339",1448,3,"assisted",15
"340",1476,24,"assisted",18
"341",1032,11,"assisted",8
"342",465,4,"assisted",15
"343",943,15,"assisted",14
"344",1376,22,"assisted",16
"345",299,13,"assisted",15
"346",1322,1,"assisted",17
"347",1139,17,"assisted",13
"348",1285,3,"assisted",18
"349",1507,6,"assisted",13
"350",507,3,"assisted",18
"351",1238,12,"assisted",18
"352",797,17,"assisted",12
"353",1417,17,"assisted",13
"354",542,5,"assisted",17
"355",372,15,"assisted",14
"356",1320,17,"assisted",13
"357",1131,3,"assisted",17
"358",989,17,"assisted",13
"359",1159,13,"assisted",12
"360",373,4,"assisted",14
"361",73,15,"assisted",14
"362",444,17,"assisted",8
"363",687,17,"assisted",13
"364",686,15,"assisted",15
"365",1067,2,"assisted",15
"366",1294,15,"assisted",15
"367",1302,8,"assisted",15
"368",93,3,"assisted",14
"369",1465,19,"assisted",16
"370",1515,15,"assisted",15
"371",748,4,"assisted",15
"372",188,4,"assisted",15
"373",258,20,"assisted",10
"374",1000,15,"assisted",10
"375",1020,19,"assisted",17
"376",1566,15,"assisted",14
"377",861,23,"assisted",15
"378",1456,13,"assisted",19
"379",1207,8,"assisted",13
"380",1299,8,"assisted",17
"381",1449,5,"assisted",16
"382",1382,3,"assisted",18
"383",1131,3,"assisted",17
"384",421,7,"assisted",10
"385",1505,17,"assisted",13
"386",1148,3,"assisted",17
"387",965,11,"assisted",8
"388",1623,15,"assisted",14
"389",585,6,"assisted",14
"390",1589,15,"assisted",8
"391",305,3,"assisted",13
"392",610,3,"assisted",16
"393",1179,17,"assisted",13
"394",1528,13,"assisted",9
"395",815,7,"assisted",13
"396",853,27,"assisted",14
"397",650,6,"assisted",12
"398",399,8,"assisted",17
"399",971,17,"assisted",13
"400",940,27,"assisted",12
"401",857,4,"assisted",15
"402",1231,25,"assisted",16
"403",879,1,"assisted",16
"404",1561,27,"assisted",14
"405",1,21,"assisted",7
"406",1410,25,"assisted",14
"407",930,22,"assisted",15
"408",915,8,"assisted",17
"409",1040,3,"assisted",16
"410",765,25,"assisted",15
"411",909,8,"assisted",15
"412",798,9,"assisted",16
"413",792,4,"assisted",14
"414",725,11,"assisted",13
"415",815,7,"assisted",13
"416",1013,24,"assisted",14
"417",965,11,"assisted",8
"418",13,25,"assisted",8
"419",507,3,"assisted",18
